schoolnames,schoolurls,schoolwins,year,games,overallwins,overalllosses,winlosspct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate0
Cincinnati,https://www.sports-reference.com/cbb/schools/cincinnati/2000.html,1,2000,33,29,4,0.879,24.62,8.5,16,0,,,,,2560,2028,,110.7,0.456,0.245,0.562,53.4,57.1,10.2,16.5,0.524,16.4,37,0.32
Connecticut,https://www.sports-reference.com/cbb/schools/connecticut/2000.html,1,2000,35,25,10,0.714,16.93,7.58,10,6,,,,,2611,2284,,109.3,0.341,0.23,0.542,53.6,55.3,9.6,11.9,0.506,17.1,41.9,0.249
Creighton,https://www.sports-reference.com/cbb/schools/creighton/2000.html,0,2000,33,23,10,0.697,8.28,1.64,11,7,,,,,2410,2191,,108.9,0.391,0.404,0.592,51.7,62.3,11.8,6.7,0.561,19.2,31.6,0.281
Dayton,https://www.sports-reference.com/cbb/schools/dayton/2000.html,0,2000,31,22,9,0.71,9.95,3.46,11,5,,,,,2214,2013,,108.1,0.398,0.34,0.537,53.2,54.8,10.5,5.9,0.496,17.2,41.1,0.284
DePaul,https://www.sports-reference.com/cbb/schools/depaul/2000.html,0,2000,33,21,12,0.636,14.67,7.83,9,7,,,,,2387,2123,,105.6,0.339,0.291,0.531,55.6,56.3,11.8,9.8,0.504,19.3,44.5,0.226
Duke,https://www.sports-reference.com/cbb/schools/duke/2000.html,2,2000,34,29,5,0.853,25.55,8.88,15,1,,,,,2992,2425,,115.8,0.384,0.342,0.583,50.6,55.9,12.9,11.3,0.547,15.7,37.4,0.285
Florida,https://www.sports-reference.com/cbb/schools/florida/2000.html,5,2000,37,29,8,0.784,23.48,8.51,12,4,,,,,3102,2548,,111.5,0.385,0.318,0.57,53.6,55.3,13.1,9.9,0.538,18.2,40.5,0.273
Fresno State,https://www.sports-reference.com/cbb/schools/fresno-state/2000.html,0,2000,34,24,10,0.706,9.17,3.58,11,3,,,,,2799,2609,,109.9,0.314,0.366,0.562,48.8,64.1,11.1,10.3,0.536,17,34.2,0.221
Gonzaga,https://www.sports-reference.com/cbb/schools/gonzaga/2000.html,2,2000,35,26,9,0.743,16.38,4.64,11,3,,,,,2719,2308,,112.1,0.395,0.355,0.568,51.7,60.8,8.3,11.2,0.544,16.4,34.2,0.263
Hofstra,https://www.sports-reference.com/cbb/schools/hofstra/2000.html,0,2000,31,24,7,0.774,5.23,-6.03,16,2,,,,,2307,1958,,108.4,0.344,0.346,0.547,53.2,52.6,12.7,11.2,0.518,16.4,36.2,0.236
Illinois,https://www.sports-reference.com/cbb/schools/illinois/2000.html,1,2000,32,22,10,0.688,19.73,9.6,11,5,,,,,2424,2100,,103.8,0.396,0.339,0.53,50,59.8,12.7,10,0.493,16.7,33.1,0.273
Indiana State,https://www.sports-reference.com/cbb/schools/indiana-state/2000.html,0,2000,32,22,10,0.688,6.54,3.22,14,4,,,,,2136,2030,,98.7,0.378,0.26,0.521,49,53.7,13.5,8.5,0.481,17,28.5,0.266
Indiana,https://www.sports-reference.com/cbb/schools/indiana/2000.html,0,2000,29,20,9,0.69,19.43,10.22,10,6,,,,,2253,1985,,105.5,0.419,0.198,0.554,51.3,57.5,10.2,11.3,0.515,17.2,33,0.297
Iona,https://www.sports-reference.com/cbb/schools/iona/2000.html,0,2000,31,20,11,0.645,-1.22,-4.13,13,5,,,,,2443,2353,,102.1,0.444,0.227,0.537,51.9,62.5,9.7,14.6,0.49,19.7,38.3,0.322
Iowa State,https://www.sports-reference.com/cbb/schools/iowa-state/2000.html,3,2000,37,32,5,0.865,19.08,7.14,14,2,,,,,2898,2409,,110.1,0.42,0.242,0.564,54.5,54.4,10.5,7.8,0.529,16.8,36,0.295
Jackson State,https://www.sports-reference.com/cbb/schools/jackson-state/2000.html,0,2000,33,17,16,0.515,-12.19,-10.38,10,8,,,,,2205,2251,,91.2,0.486,0.193,0.478,51.8,54,10.4,12.5,0.433,21.4,40.6,0.31
Kansas,https://www.sports-reference.com/cbb/schools/kansas/2000.html,1,2000,34,24,10,0.706,17.94,9.79,11,5,,,,,2676,2382,76.3,102.7,0.291,0.204,0.518,55.1,60.3,12,13.2,0.495,18.6,42,0.189
Kentucky,https://www.sports-reference.com/cbb/schools/kentucky/2000.html,1,2000,33,23,10,0.697,18.52,12.71,12,4,,,,,2280,2074,,101.6,0.392,0.343,0.513,53.4,53.8,9,14.8,0.474,18.4,40.3,0.27
Lafayette,https://www.sports-reference.com/cbb/schools/lafayette/2000.html,0,2000,31,24,7,0.774,0.42,-8.07,11,1,,,,,2280,1986,,104.1,0.394,0.375,0.563,51,61.1,14.3,9.3,0.527,19.8,33.4,0.283
Lamar,https://www.sports-reference.com/cbb/schools/lamar/2000.html,0,2000,31,15,16,0.484,-6.16,-3.84,8,10,,,,,1949,2021,,96.5,0.329,0.373,0.489,51.2,60.7,11.1,7.5,0.452,19.6,34.9,0.226
Louisiana,https://www.sports-reference.com/cbb/schools/louisiana-lafayette/2000.html,0,2000,34,25,9,0.735,2.37,-1.58,13,3,,,,,2441,2301,,,0.38,0.294,0.505,49,56.4,,12.2,0.479,,50.6,0.234
Louisiana State,https://www.sports-reference.com/cbb/schools/louisiana-state/2000.html,2,2000,34,28,6,0.824,18.9,5.78,12,4,,,,,2578,2132,,106,0.456,0.297,0.563,55.5,55,12.9,13.8,0.539,20.6,40,0.294
Louisville,https://www.sports-reference.com/cbb/schools/louisville/2000.html,0,2000,31,19,12,0.613,14.93,8.76,10,6,,,,,2269,2052,,103.2,0.317,0.276,0.541,48.8,61,13,11,0.511,18.9,36.1,0.223
Maryland,https://www.sports-reference.com/cbb/schools/maryland/2000.html,1,2000,35,25,10,0.714,17.93,9.44,11,5,,,,,2683,2386,,103.6,0.33,0.257,0.539,51.1,66.6,13.7,16.3,0.511,18.6,37.2,0.226
Miami (FL),https://www.sports-reference.com/cbb/schools/miami-fl/2000.html,2,2000,34,23,11,0.676,11.83,5.39,13,3,,,,,2346,2127,,100.6,0.35,0.223,0.51,51.5,58.7,12.3,10.1,0.464,18,39.8,0.262
Michigan State,https://www.sports-reference.com/cbb/schools/michigan-state/2000.html,6,2000,39,32,7,0.821,25.04,9.91,13,3,,,,,2889,2299,,112.1,0.38,0.311,0.57,58.9,59.1,9.9,7.7,0.533,18.3,42.1,0.279
Missouri,https://www.sports-reference.com/cbb/schools/missouri/2000.html,0,2000,31,18,13,0.581,12.55,8.22,10,6,,,,,2302,2168,,103.6,0.363,0.441,0.539,46.5,55.3,12.4,4.8,0.503,16.2,28.9,0.257
Nevada-Las Vegas,https://www.sports-reference.com/cbb/schools/nevada-las-vegas/2000.html,0,2000,31,23,8,0.742,9.74,2.52,10,4,,,,,2548,2324,,104.1,0.376,0.258,0.529,53.6,67.1,10.7,10.5,0.496,18.6,38.8,0.256
North Carolina-Wilmington,https://www.sports-reference.com/cbb/schools/north-carolina-wilmington/2000.html,0,2000,31,18,13,0.581,2.41,-0.24,8,8,,,,,1863,1781,,88.8,0.349,0.294,0.497,50,56.2,10.5,6.4,0.469,23.2,30.4,0.219
North Carolina,https://www.sports-reference.com/cbb/schools/north-carolina/2000.html,4,2000,36,22,14,0.611,17,11.8,9,7,,,,,2715,2528,,107.9,0.358,0.238,0.562,52.8,60.1,8.3,11.2,0.532,18.1,37.3,0.251
Northern Arizona,https://www.sports-reference.com/cbb/schools/northern-arizona/2000.html,0,2000,31,20,11,0.645,4.34,1.37,11,5,,,,,2280,2134,,106.6,0.383,0.414,0.593,52.2,63.6,5.6,7.6,0.558,21.1,31.6,0.287
Ohio State,https://www.sports-reference.com/cbb/schools/ohio-state/2000.html,1,2000,30,23,7,0.767,17.55,6.55,13,3,,,,,2182,1852,,106.5,0.36,0.261,0.533,52.1,48.6,9.5,17.1,0.497,15.6,36.8,0.253
Oklahoma State,https://www.sports-reference.com/cbb/schools/oklahoma-state/2000.html,3,2000,34,27,7,0.794,20.01,6.59,12,4,,,,,2620,2117,,108.8,0.395,0.287,0.567,52.6,68.8,10.8,9.5,0.535,17.3,34.6,0.276
Oklahoma,https://www.sports-reference.com/cbb/schools/oklahoma/2000.html,1,2000,34,27,7,0.794,19.25,6.63,12,4,,,,,2546,2117,,110.6,0.315,0.343,0.552,52.7,57.3,10.5,7.3,0.523,15.9,36.5,0.224
Oregon,https://www.sports-reference.com/cbb/schools/oregon/2000.html,0,2000,30,22,8,0.733,14.74,8.53,13,5,,,,,2269,2047,,104.9,0.375,0.321,0.559,51.3,60.8,9.5,7.1,0.519,18.8,34.8,0.279
Pennsylvania,https://www.sports-reference.com/cbb/schools/pennsylvania/2000.html,0,2000,29,21,8,0.724,4,-2.89,14,0,,,,,1942,1742,,103.4,0.336,0.344,0.535,52.7,61.7,8.4,10.9,0.512,16.9,32.2,0.217
Pepperdine,https://www.sports-reference.com/cbb/schools/pepperdine/2000.html,1,2000,34,25,9,0.735,13.11,3.35,12,2,,,,,2481,2149,,101,0.276,0.329,0.524,50.9,53.2,13,7.5,0.5,17.5,32.8,0.184
Purdue,https://www.sports-reference.com/cbb/schools/purdue/2000.html,3,2000,34,24,10,0.706,16.87,9.56,12,4,,,,,2505,2246,,106.2,0.459,0.308,0.537,51.9,56.8,11.1,7.9,0.497,17.8,38.7,0.314
Saint Louis,https://www.sports-reference.com/cbb/schools/saint-louis/2000.html,0,2000,33,19,14,0.576,9,8.39,7,9,,,,,2124,2104,,94.3,0.447,0.255,0.517,50.8,55,11.3,9.2,0.473,22.2,35.7,0.307
Samford,https://www.sports-reference.com/cbb/schools/samford/2000.html,0,2000,32,21,11,0.656,3.2,-5.8,12,6,,,,,2323,1998,,112.1,0.312,0.488,0.613,50.6,65.8,11.1,9.3,0.595,18.8,29.3,0.218
Seton Hall,https://www.sports-reference.com/cbb/schools/seton-hall/2000.html,2,2000,32,22,10,0.688,10.64,5.11,10,6,,,,,2295,2118,,104.2,0.341,0.367,0.53,49,56.8,10.2,13.8,0.5,18,36.6,0.231
South Carolina State,https://www.sports-reference.com/cbb/schools/south-carolina-state/2000.html,0,2000,34,20,14,0.588,-10.41,-9.38,14,5,,,,,2386,2421,,101.1,0.361,0.301,0.481,52.5,44.6,10,10,0.442,16.4,42,0.243
Southeast Missouri State,https://www.sports-reference.com/cbb/schools/southeast-missouri-state/2000.html,0,2000,31,24,7,0.774,4.42,-2.48,14,4,,,,,2154,1911,,102,0.394,0.332,0.54,50.8,51.2,8.9,12.9,0.503,19.3,33.3,0.277
St. Bonaventure,https://www.sports-reference.com/cbb/schools/st-bonaventure/2000.html,0,2000,31,21,10,0.677,9.45,5.29,11,5,,,,,2136,2007,,102.7,0.375,0.298,0.528,52.1,50.3,12.4,7.8,0.499,19.4,39.9,0.248
St. John's (NY),https://www.sports-reference.com/cbb/schools/st-johns-ny/2000.html,1,2000,33,25,8,0.758,14.26,6.96,12,4,,,,,2043,2192,,97.5,0.36,0.366,0.522,49.9,63.4,16.8,7.6,0.483,16.9,36.5,0.257
Stanford,https://www.sports-reference.com/cbb/schools/stanford/2000.html,1,2000,31,27,4,0.871,25.65,7.12,15,3,,,,,2447,1850,,112.1,0.454,0.35,0.575,56.5,65.8,6.5,12.4,0.538,17.5,38.5,0.322
Syracuse,https://www.sports-reference.com/cbb/schools/syracuse/2000.html,2,2000,32,26,6,0.813,17.67,6.2,13,3,,,,,2400,2033,,109.7,0.362,0.258,0.548,52.6,64.4,13.1,13.1,0.514,17,40.2,0.255
Temple,https://www.sports-reference.com/cbb/schools/temple/2000.html,1,2000,33,27,6,0.818,20.64,6.94,14,2,,,,,2260,1808,,111.4,0.324,0.411,0.512,53.1,59.6,15.4,15.1,0.485,12.8,40,0.212
Tennessee,https://www.sports-reference.com/cbb/schools/tennessee/2000.html,2,2000,33,26,7,0.788,18.94,8.12,12,4,,,,,2629,2239,72.9,108,0.395,0.365,0.548,51.7,52.9,11.9,13.6,0.516,17.8,38.9,0.27
Texas,https://www.sports-reference.com/cbb/schools/texas/2000.html,1,2000,33,24,9,0.727,20.43,9.61,13,3,,,,,2460,2103,,105.1,0.433,0.261,0.546,52.8,54.9,10.4,12.1,0.518,18.6,37,0.28
Tulsa,https://www.sports-reference.com/cbb/schools/tulsa/2000.html,3,2000,37,32,5,0.865,19.94,2.42,12,2,,,,,2974,2326,,109.9,0.389,0.344,0.565,51.2,60.1,16,12.1,0.532,17.8,36.3,0.274
UCLA,https://www.sports-reference.com/cbb/schools/ucla/2000.html,2,2000,33,21,12,0.636,15.29,10.11,10,8,,,,,2492,2321,,104.4,0.329,0.278,0.543,52.6,57.2,11.8,10.9,0.532,19.3,38.7,0.193
Utah State,https://www.sports-reference.com/cbb/schools/utah-state/2000.html,0,2000,34,28,6,0.824,8.83,1.89,16,0,,,,,2397,2080,,106.6,0.376,0.284,0.539,52.4,55.4,10.4,10.6,0.517,16.9,35.8,0.236
Utah,https://www.sports-reference.com/cbb/schools/utah/2000.html,1,2000,32,23,9,0.719,12.23,4.36,10,4,,,,,2252,1979,,109.6,0.399,0.353,0.583,53.8,63.4,9.6,8.2,0.55,19.3,34.1,0.287
Valparaiso,https://www.sports-reference.com/cbb/schools/valparaiso/2000.html,0,2000,32,19,13,0.594,-2.89,-3.71,10,6,,,,,2128,2006,,100.5,0.347,0.364,0.537,53.9,60.6,11.1,10.6,0.512,21.3,37.4,0.226
Winthrop,https://www.sports-reference.com/cbb/schools/winthrop/2000.html,0,2000,30,21,9,0.7,-1.04,-7.41,11,3,,,,,2193,1941,,102.8,0.417,0.408,0.532,52.4,55.4,10.1,9.5,0.499,18.7,35.1,0.277
Wisconsin,https://www.sports-reference.com/cbb/schools/wisconsin/2000.html,4,2000,36,22,14,0.611,16.67,12.5,8,8,,,,,2157,2007,,98,0.344,0.336,0.517,48.6,62.5,10.7,8.7,0.484,16.4,26.3,0.234
Alabama State,https://www.sports-reference.com/cbb/schools/alabama-state/2001.html,0,2001,31,22,9,0.71,-8.86,-13.61,15,3,11,2,8,5,2135,1980,,98.7,0.406,0.295,0.522,49.5,54.2,12,6.9,0.489,20,34,0.267
Arizona,https://www.sports-reference.com/cbb/schools/arizona/2001.html,5,2001,36,28,8,0.778,26.84,12.56,15,3,13,2,7,5,2926,2386,,111.5,0.441,0.255,0.568,54.5,57.6,10.8,10.7,0.522,17.5,40,0.33
Arkansas,https://www.sports-reference.com/cbb/schools/arkansas/2001.html,0,2001,31,20,11,0.645,16.61,6.16,10,6,16,2,3,7,2476,2152,,106.8,0.321,0.372,0.54,46.3,54,15.7,10.6,0.511,16.4,34.6,0.222
Boston College,https://www.sports-reference.com/cbb/schools/boston-college/2001.html,1,2001,32,27,5,0.844,17.99,5.18,13,3,17,0,6,4,2547,2129,,113.6,0.407,0.337,0.552,51.3,52.8,14.5,8.2,0.514,15.5,41.6,0.289
Brigham Young,https://www.sports-reference.com/cbb/schools/brigham-young/2001.html,0,2001,33,24,9,0.727,10.94,3.47,10,4,15,0,4,6,2324,2069,,112.5,0.515,0.299,0.576,51.8,55.6,9.8,9.3,0.516,17.7,33.7,0.402
Butler,https://www.sports-reference.com/cbb/schools/butler/2001.html,1,2001,32,24,8,0.75,12.55,3.98,11,3,13,1,7,6,2228,1946,,109.8,0.397,0.376,0.57,47.8,51.4,10.9,7.5,0.536,16.2,31.9,0.284
Cal State Northridge,https://www.sports-reference.com/cbb/schools/cal-state-northridge/2001.html,0,2001,32,22,10,0.688,5.94,0.24,13,3,13,1,8,6,2650,2409,,111.3,0.47,0.297,0.588,50.7,66.8,11.2,6.1,0.553,17.8,33.9,0.333
University of California,https://www.sports-reference.com/cbb/schools/california/2001.html,0,2001,31,20,11,0.645,14.76,9.08,11,7,14,3,5,7,2304,2128,,105.5,0.431,0.296,0.563,49.3,62.5,10.3,6.1,0.53,17.2,27.9,0.295
Charlotte,https://www.sports-reference.com/cbb/schools/charlotte/2001.html,1,2001,33,22,11,0.667,14.24,7.91,10,6,10,2,7,7,2583,2374,,108.4,0.389,0.424,0.546,50.1,54,9.7,7.3,0.513,15,33,0.266
Cincinnati,https://www.sports-reference.com/cbb/schools/cincinnati/2001.html,2,2001,35,25,10,0.714,16.19,7.84,11,5,11,3,7,5,2586,2294,,110,0.366,0.289,0.531,49.5,49,8.3,8.9,0.495,13.5,36.9,0.255
Creighton,https://www.sports-reference.com/cbb/schools/creighton/2001.html,0,2001,32,24,8,0.75,12.4,3,14,4,14,0,7,5,2325,2024,,106.2,0.4,0.389,0.548,50.8,62.2,13.4,10.3,0.512,16.7,32.3,0.281
Duke,https://www.sports-reference.com/cbb/schools/duke/2001.html,6,2001,39,35,4,0.897,32.18,11.98,13,3,13,2,9,1,3538,2750,,117.8,0.396,0.418,0.588,50.7,57.6,13.7,10.5,0.561,15,37,0.275
Eastern Illinois,https://www.sports-reference.com/cbb/schools/eastern-illinois/2001.html,0,2001,31,21,10,0.677,0.99,-2.46,11,5,13,0,5,9,2564,2439,,111,0.337,0.302,0.572,49.6,56.2,8.5,7.9,0.533,16,32.9,0.261
Florida,https://www.sports-reference.com/cbb/schools/florida/2001.html,1,2001,31,24,7,0.774,21.32,7.51,12,4,14,2,8,3,2509,2081,,111.4,0.431,0.379,0.59,51.7,63.4,12,9.4,0.554,17.5,30.9,0.315
Fresno State,https://www.sports-reference.com/cbb/schools/fresno-state/2001.html,1,2001,33,26,7,0.788,15.66,5.14,13,3,17,1,6,4,2689,2342,,109.8,0.391,0.334,0.559,50.7,62.1,13.5,15.3,0.529,18.6,34.6,0.266
George Mason,https://www.sports-reference.com/cbb/schools/george-mason/2001.html,0,2001,30,18,12,0.6,5.12,-0.35,11,5,10,1,6,9,2127,1963,,103.3,0.371,0.257,0.53,50.3,52.4,12.2,11.4,0.501,17.6,34.5,0.245
Georgetown,https://www.sports-reference.com/cbb/schools/georgetown/2001.html,2,2001,33,25,8,0.758,12.07,1.58,10,6,13,3,7,3,2574,2228,,105.3,0.386,0.265,0.514,55.7,59.2,13.3,14.8,0.481,18,45.3,0.255
Georgia State,https://www.sports-reference.com/cbb/schools/georgia-state/2001.html,1,2001,34,29,5,0.853,5.25,-3.72,16,2,16,0,10,4,2701,2337,,110.8,0.391,0.377,0.551,49.8,48.3,14.4,9.4,0.516,15.1,36.3,0.274
Georgia Tech,https://www.sports-reference.com/cbb/schools/georgia-tech/2001.html,0,2001,30,17,13,0.567,14.51,11.78,8,8,12,3,3,8,2269,2187,,100.2,0.363,0.384,0.531,48.4,62.9,10.5,10.8,0.497,18.2,30.3,0.251
Georgia,https://www.sports-reference.com/cbb/schools/georgia/2001.html,0,2001,31,16,15,0.516,12.67,12.71,9,7,9,4,5,7,2257,2258,,104.8,0.347,0.226,0.532,53.2,55.7,9.1,12.2,0.503,18.6,36.5,0.234
Gonzaga,https://www.sports-reference.com/cbb/schools/gonzaga/2001.html,2,2001,33,26,7,0.788,12.57,0.32,13,1,13,1,9,5,2720,2271,,116.3,0.528,0.338,0.606,53.6,58.7,8.2,10.2,0.579,17.4,35,0.36
Hampton,https://www.sports-reference.com/cbb/schools/hampton/2001.html,1,2001,32,25,7,0.781,-3.67,-10.6,14,4,10,1,11,5,2471,2246,,107.6,0.452,0.311,0.551,51.7,52.8,9.5,13.6,0.515,17.9,38.2,0.309
Hawaii,https://www.sports-reference.com/cbb/schools/hawaii/2001.html,0,2001,31,17,14,0.548,6.89,7.25,8,8,13,5,2,8,2254,2265,,102.5,0.391,0.298,0.558,49.9,69.9,8.3,5.7,0.52,20.4,33.8,0.284
Hofstra,https://www.sports-reference.com/cbb/schools/hofstra/2001.html,0,2001,31,26,5,0.839,5.11,-5.47,16,2,12,1,11,2,2257,1929,,103.5,0.487,0.304,0.553,54.2,52.8,10.9,10.3,0.524,20,36.4,0.315
Holy Cross,https://www.sports-reference.com/cbb/schools/holy-cross/2001.html,0,2001,30,22,8,0.733,-0.31,-5.84,10,2,13,1,9,6,2034,1868,,101.1,0.654,0.27,0.54,55.6,60.2,9.3,14.3,0.493,21.4,39.9,0.43
Illinois,https://www.sports-reference.com/cbb/schools/illinois/2001.html,3,2001,35,27,8,0.771,23.32,11.38,13,3,13,0,7,4,2725,2307,,108.4,0.43,0.331,0.553,54.8,59.2,10.7,11.6,0.514,17.5,38.4,0.303
Indiana State,https://www.sports-reference.com/cbb/schools/indiana-state/2001.html,1,2001,34,22,12,0.647,6.95,2.5,10,8,12,2,5,8,2479,2305,,,0.412,0.317,0.554,47.7,60.5,,7.1,0.517,15.2,29.2,0.291
Indiana,https://www.sports-reference.com/cbb/schools/indiana/2001.html,0,2001,34,21,13,0.618,17.58,11.05,10,6,13,2,4,6,2408,2186,,100.8,0.424,0.264,0.529,51.4,59.8,9.7,12.8,0.5,17.9,31.5,0.27
Iona,https://www.sports-reference.com/cbb/schools/iona/2001.html,0,2001,33,22,11,0.667,0.25,-4.09,12,6,12,2,8,6,2549,2375,,104.2,0.434,0.219,0.557,51.4,52.7,10.6,13,0.523,19.6,33.5,0.299
Iowa State,https://www.sports-reference.com/cbb/schools/iowa-state/2001.html,0,2001,31,25,6,0.806,15.9,4.87,13,3,16,0,6,4,2451,2115,,109.6,0.493,0.251,0.572,56.3,52.1,8.5,8.1,0.527,17.9,36.2,0.359
Iowa,https://www.sports-reference.com/cbb/schools/iowa/2001.html,1,2001,35,23,12,0.657,14.24,10.7,7,9,12,4,5,6,2593,2469,,106.1,0.564,0.302,0.54,54.7,58.2,7.8,6.6,0.485,17.8,38.6,0.397
Kansas,https://www.sports-reference.com/cbb/schools/kansas/2001.html,2,2001,33,26,7,0.788,20.23,9.03,12,4,14,1,8,4,2707,2286,,110.2,0.395,0.233,0.571,54.9,64,8.8,12.4,0.548,18.3,38.7,0.261
Kent State,https://www.sports-reference.com/cbb/schools/kent-state/2001.html,1,2001,34,24,10,0.706,8.69,1.44,13,5,10,2,7,5,2390,2117,,108.3,0.385,0.269,0.527,48.4,52.1,10.6,8.3,0.476,13.2,34,0.294
Kentucky,https://www.sports-reference.com/cbb/schools/kentucky/2001.html,2,2001,34,24,10,0.706,20.27,11.06,12,4,11,1,6,6,2713,2400,,110.2,0.366,0.345,0.563,51.9,54.6,9.3,10.8,0.541,17.6,39.2,0.24
Maryland,https://www.sports-reference.com/cbb/schools/maryland/2001.html,4,2001,36,25,11,0.694,23.82,10.99,10,6,11,3,6,4,3067,2605,,113.6,0.387,0.233,0.56,53.2,61.8,11.9,14.3,0.529,16,40.7,0.269
Michigan State,https://www.sports-reference.com/cbb/schools/michigan-state/2001.html,4,2001,33,28,5,0.848,25.12,9.54,13,3,17,0,7,3,2553,2039,,115.3,0.351,0.231,0.559,61.1,60.5,9.5,11.1,0.526,16.5,47.1,0.252
Mississippi,https://www.sports-reference.com/cbb/schools/mississippi/2001.html,2,2001,35,27,8,0.771,15.05,9.2,11,5,15,1,6,4,2496,2262,,102.3,0.423,0.335,0.531,49.9,57.8,11.7,8.4,0.499,17.5,33.7,0.277
Missouri,https://www.sports-reference.com/cbb/schools/missouri/2001.html,1,2001,33,20,13,0.606,10.76,9.19,9,7,13,1,3,8,2493,2402,,103.9,0.368,0.364,0.527,49.5,49.4,10.8,8.9,0.49,17.4,36.2,0.258
Monmouth,https://www.sports-reference.com/cbb/schools/monmouth/2001.html,0,2001,31,21,10,0.677,-3.82,-8.85,15,5,10,2,8,7,2180,2024,,100.8,0.407,0.343,0.549,48.7,58.1,12.9,10.5,0.515,19.2,29,0.281
North Carolina-Greensboro,https://www.sports-reference.com/cbb/schools/north-carolina-greensboro/2001.html,0,2001,31,19,12,0.613,-5.02,-5.85,10,6,10,1,6,10,2282,2230,,103.2,0.412,0.276,0.548,47.8,53.6,12.3,9.4,0.497,18.6,32.4,0.317
North Carolina,https://www.sports-reference.com/cbb/schools/north-carolina/2001.html,1,2001,33,26,7,0.788,19.95,11.77,13,3,12,2,8,3,2611,2341,,106.5,0.403,0.263,0.556,52.6,61,10,12.7,0.527,18.1,35.2,0.27
Northwestern State,https://www.sports-reference.com/cbb/schools/northwestern-state/2001.html,1,2001,32,19,13,0.594,-11.1,-7.82,11,9,8,3,8,9,2292,2397,,95.1,0.473,0.297,0.504,48,51,12.8,10,0.461,19.1,32.5,0.313
Notre Dame,https://www.sports-reference.com/cbb/schools/notre-dame/2001.html,1,2001,30,20,10,0.667,14.35,5.68,11,5,13,4,6,4,2338,2078,,108,0.405,0.323,0.556,51.1,64.7,9.2,12.9,0.524,17.1,34.7,0.279
Ohio State,https://www.sports-reference.com/cbb/schools/ohio-state/2001.html,0,2001,31,20,11,0.645,15.68,8.17,11,5,14,3,5,4,2206,1973,,105.8,0.424,0.269,0.558,53.4,61,7.7,13.8,0.522,19.2,37.5,0.296
Oklahoma State,https://www.sports-reference.com/cbb/schools/oklahoma-state/2001.html,0,2001,30,20,10,0.667,10.81,4.7,10,6,15,1,4,7,2129,1936,,99.6,0.446,0.239,0.532,52.3,52.9,11.3,9.8,0.503,20.2,34.8,0.282
Oklahoma,https://www.sports-reference.com/cbb/schools/oklahoma/2001.html,0,2001,33,26,7,0.788,15.54,5.48,12,4,13,1,5,5,2454,2122,,109,0.347,0.331,0.547,51.9,51.7,12.5,7.9,0.509,15.8,35.9,0.257
Penn State,https://www.sports-reference.com/cbb/schools/penn-state/2001.html,2,2001,33,21,12,0.636,12.42,10.54,7,9,10,4,5,6,2535,2473,,106.4,0.391,0.386,0.545,44.7,57.6,11.7,8,0.496,14.9,28.4,0.299
Princeton,https://www.sports-reference.com/cbb/schools/princeton/2001.html,0,2001,27,16,11,0.593,-2.53,-1.88,11,3,9,1,6,7,1562,1569,,100.8,0.302,0.515,0.568,46.2,70.9,11.6,7.8,0.539,19.8,24.3,0.219
Providence,https://www.sports-reference.com/cbb/schools/providence/2001.html,0,2001,31,21,10,0.677,13.74,5.44,11,5,13,3,8,3,2359,2049,71.6,106.2,0.383,0.344,0.552,50,62.8,12.9,13.6,0.514,17.9,36,0.275
Saint Joseph's,https://www.sports-reference.com/cbb/schools/saint-josephs/2001.html,1,2001,33,26,7,0.788,12.72,4.45,14,2,13,1,10,5,2625,2352,,110.2,0.43,0.381,0.58,52.2,65.2,8.6,9.3,0.549,17.5,33.5,0.298
Southern California,https://www.sports-reference.com/cbb/schools/southern-california/2001.html,3,2001,34,24,10,0.706,16.53,10.83,11,7,13,3,7,5,2620,2420,,106.7,0.447,0.305,0.553,51.6,57.2,10.5,11,0.513,17.8,35.7,0.315
Southern Utah,https://www.sports-reference.com/cbb/schools/southern-utah/2001.html,0,2001,31,25,6,0.806,3.01,-3.42,13,3,13,0,9,5,2243,2015,,108.6,0.42,0.308,0.584,50.9,59,15.5,9.6,0.55,19.7,36.5,0.3
Stanford,https://www.sports-reference.com/cbb/schools/stanford/2001.html,3,2001,34,31,3,0.912,25.76,9.86,16,2,13,2,11,0,2829,2226,,119.4,0.484,0.315,0.617,55.6,59.6,7.9,7.7,0.579,16,35.8,0.36
Syracuse,https://www.sports-reference.com/cbb/schools/syracuse/2001.html,1,2001,34,25,9,0.735,11.14,5.82,10,6,15,2,4,5,2475,2294,,104.3,0.358,0.272,0.521,50.1,61.6,13.7,16.1,0.482,15.7,35.2,0.256
Temple,https://www.sports-reference.com/cbb/schools/temple/2001.html,3,2001,37,24,13,0.649,16.2,9.77,12,4,12,5,8,6,2604,2366,,113.3,0.31,0.376,0.523,50.1,44.9,11.7,12.9,0.492,11,36.9,0.217
Tennessee,https://www.sports-reference.com/cbb/schools/tennessee/2001.html,0,2001,33,22,11,0.667,15.49,10.28,8,8,13,3,6,6,2668,2496,,106.9,0.44,0.352,0.557,50.1,58.1,9.3,13.3,0.524,18.1,34.3,0.299
